1|said|spoke some words|She said that the kite was blue.
1|come|move towards this place|Please come to the table.
1|some|an amount that is not exact|There are some apples in the bowl.
1|one|a single thing|There is one boat by the bank.
1|once|on one occasion|I have visited that park once.
1|friend|someone you like and know well|My friend helped me build a den.
1|school|a place where people learn together|The school has a library.
1|house|a building where people live|The house has a green door.
1|where|in or at what place|Where did you put the map?
1|there|in or at that place|Put the basket over there.
1|brave|willing to face something frightening|The brave sailor asked for help in the storm.
1|tiny|very small|A tiny seed lay on my hand.
2|because|for the reason that|We stayed inside because it rained.
2|beautiful|very pleasing to look at or experience|The beautiful garden was full of flowers.
2|people|human beings|Several people waited for the bus.
2|again|one more time|Read the sentence again.
2|every|each one of a group|Every chair had a cushion.
2|could|was able to or might be able to|I could see the hill from the window.
2|would|used to describe an imagined action|I would sail if the wind returned.
2|should|used to say what is advisable|We should check the map before leaving.
2|climb|move upwards using your hands or feet|We climb the steps to the tower.
2|quiet|making little noise|The quiet room helped us hear the clock.
2|gentle|careful and not rough|Use a gentle touch with the young plant.
2|enormous|extremely large|The enormous ship filled the harbour.
3|accident|an unexpected event that can cause damage|The broken cup was an accident.
3|address|details of where someone lives or a place is|Write the address on the envelope.
3|answer|a reply to a question|Explain how you found your answer.
3|appear|come into sight|Stars appear as the sky grows dark.
3|arrive|reach a place|We will arrive before lunch.
3|believe|think that something is true|I believe the bridge is open.
3|bicycle|a vehicle with two wheels driven by pedals|I parked my bicycle beside the gate.
3|calendar|a chart showing days and months|Mark the trip on the calendar.
3|certain|sure about something|I am certain that two plus two is four.
3|curious|wanting to know or learn more|The curious child examined the shell.
3|fragile|easily broken or damaged|Carry the fragile glass carefully.
3|reluctant|not willing or eager to do something|She was reluctant to leave the warm room.
4|different|not the same|The two leaves have different shapes.
4|difficult|needing effort or skill to do|The difficult puzzle took several attempts.
4|disappear|stop being visible|We watched the boat disappear into the mist.
4|experiment|a test used to find something out|Our experiment compared two types of soil.
4|favourite|liked more than the others|This is my favourite story.
4|knowledge|facts and understanding gained by learning|Reading expanded his knowledge of birds.
4|library|a place where books are kept for people to use|I borrowed a book from the library.
4|ordinary|usual rather than special|It looked like an ordinary stone.
4|peculiar|strange or unusual|A peculiar sound came from the old clock.
4|separate|apart rather than joined together|Keep the wet and dry towels separate.
4|cautious|careful to avoid danger or mistakes|The cautious walker tested the slippery step.
4|generous|willing to give or share|The generous gardener shared her seeds.
5|accommodate|provide enough space or what is needed|The hall can accommodate fifty chairs.
5|accompany|go somewhere with someone|An adult will accompany the group.
5|achieve|succeed in doing something you worked towards|Small steps can help you achieve your aim.
5|awkward|difficult to handle or move comfortably|The long box was awkward to carry.
5|bargain|something bought for a good price|The sturdy second-hand desk was a bargain.
5|category|a group of things with shared features|Put each animal in the correct category.
5|conscience|your sense of whether your actions are right or wrong|Her conscience prompted her to return the lost coin.
5|conscious|awake and aware of what is happening|He remained conscious after the fall.
5|definite|clear and certain|We need a definite time to meet.
5|desperate|feeling an urgent and serious need|The thirsty walkers were desperate for water.
5|diligent|working with steady care and effort|The diligent researcher checked each measurement.
5|ambiguous|having more than one possible meaning|The ambiguous message left us unsure which gate to use.
6|embarrass|make someone feel awkward or self-conscious|Please do not embarrass anyone about a mistake.
6|environment|the surroundings in which living things exist|A clean pond is a healthier environment for frogs.
6|exaggerate|describe something as bigger or more extreme than it is|Do not exaggerate the size of the fish.
6|foreign|from another country|The museum displayed foreign coins.
6|guarantee|a firm promise that something will happen or work|The shop gave a guarantee with the clock.
6|necessary|needed for a particular purpose|Water is necessary for the plant to grow.
6|opportunity|a chance to do something|The visit was an opportunity to ask questions.
6|privilege|a special right or advantage|Access to the private garden was a privilege.
6|rhythm|a repeated pattern of beats or movement|We clapped the rhythm of the song.
6|sufficient|enough for what is needed|We had sufficient rope to reach the post.
6|meticulous|extremely careful about small details|Her meticulous notes recorded every change.
6|resilient|able to recover after difficulty or damage|The resilient plant grew new leaves after the frost.
7|benevolent|kind and wishing to help others|The benevolent donor paid for new library books.
7|coherent|clear and logically connected|The explanation was coherent and easy to follow.
7|concise|expressed clearly in few words|Give a concise summary of the journey.
7|conspicuous|easy to notice|The bright orange flag was conspicuous against the snow.
7|detrimental|causing harm or damage|Too little water is detrimental to these plants.
7|eloquent|able to express ideas clearly and effectively|Her eloquent speech explained why the park mattered.
7|ephemeral|lasting for only a short time|The ephemeral rainbow vanished within minutes.
7|frugal|careful to avoid wasting money or resources|The frugal cook used the remaining vegetables in soup.
7|impartial|fair and not favouring either side|An impartial judge listens to both arguments.
7|inevitable|certain to happen and unable to be avoided|With no support left, the tower's collapse was inevitable.
7|plausible|seeming reasonable or possible|A loose wire was a plausible explanation for the fault.
7|scrutinise|examine very carefully|Scrutinise the map before choosing a route.
7|tenacious|continuing firmly despite difficulty|The tenacious vine held tightly to the wall.
7|transient|remaining for only a short time|The shower was transient and sunshine soon returned.
7|vigilant|watchful for possible danger or problems|The vigilant lookout spotted the approaching rocks.
